id,text,len tweet,likes,rt,position
1271292215176945664,RT @rubengluengas: JENARO VILLAMIL: Que AMLO DEBATA con PERIODISTAS que NO COINCIDEN CON ÉL... ,131,0,3,0
1271290496556519427,"RT @RAGGAMATCH: @RedBone4t @marianagc Están bien inches torcidas , una parece Lyn May y la otra artesanía prehispánica con doble frente",135,0,9,0
1271290461043298305,RT @RedBone4t: @marianagc Felicidades Marianita ,71,0,67,0
1271290196894511109,"RT @marcos4TVA: el chayotero Loret de mola en decadencia, después de creerse mucho en televisa, donde ganaba 2 millones de pesos, ahora no…",139,0,69,0
1271289992480911362,RT @alegvilla1: EN SU DESESPERACION POR AFECTAR AMLO Y LA 4T @Javier_Alatorre CALIFICA DE VÁNDALOS A LOS INTEGRANTES  DE LA BRIGADA DE PAZ…,139,0,91,0
1271288702036086784,"RT @RataroTio: 💥‼️FRENAA PAGA GENTE CONTRA AMLO ‼️💥
Usando la necesidad en esta crisis FRENAA inicia campaña ANTI-AMLO
¿ Como ven? @Sinline…",140,0,455,0
1271226852800188422,"RT @Noti_Beka: #RedAMLO #AMLOVERS les pido sigamos las cuentas que han tumbado. Hoy es por ellos mañana podría ser por ti!!! ""UNIDOS HACEMO…",140,0,19,0
1271212556347158530,"RT @Revolucion3_0: Alfaro, un vulgar asesino, represor y criminal; que vaya respetando al compañero Andrés Manuel: Fernández Noroña (+ #Vid…",140,0,78,0
1271212084303482887,RT @alegvilla1: @molotovmx @ClaudiaLizaldi @lopezobrador_ Yo creo de de bastantes ceros.. 🙄🙄🙄 qué asco 🤮 ,128,0,3,0
1271206595465285634,"RT @aramirezcuellar: Con mucho gusto les presentamos el nuevo número de @P_Regeneracion donde hablamos de los legisladores de la 4T, el sem…",140,0,107,0
1271127000879706118,"RT @OiIiOili: Amigos, se viene un maremoto vs AMLO para levantar al agonizante conservadurismo, seamos cautelosos y analíticos, mucha fake…",139,0,142,0
1271125439784853506,RT @LaurielaRodrig1: #SomosMillonesConAMLO ,66,0,20,0
1271115276373893124,"RT @Jeremias_RA: Hoy en @DelCaosAlCosmos con @Hasardevi y @aztk66 

Se escucha por @radioamlo audio por aquí ",140,0,7,0
1271113496881700864,"RT @JohnMAckerman: ""Under @lopezobrador_ Mexico is undergoing a radical change. The social programmes introduced since he took office are p…",140,0,351,0
1271113194124251136,"RT @epigmenioibarra: Quieren tumbar a AMLO,revertir las reformas constitucionales,volver al poder. Tienen a columnistas,medios, políticos y…",140,0,1398,0
1271112153194541056,"RT @Revolucion3_0: “Éste tren de la 4T es imparable y no lo van a parar, porque #SomosMillonesConAMLO”  ",127,0,45,0
1271112072298926083,RT @aztk66: Jueves de @DelCaosAlCosmos con @Hasardevi por ¡@Radioamlo en @TuneIn Radio! ,140,0,9,0
1271081476398907392,@Magaly_LopezOax @EnriqueAlfaroR @FiscaliaJal @Eltiotonysoy Apoyo la solicitud...!!! ¿Quién más se suma? #SomosMillonesConAMLO,126,5,1,0
1271060972296376320,"RT @lopezobrador_: Si no atendemos las necesidades de los mexicanos, no conseguiremos la paz y la tranquilidad. Conferencia matutina. ",140,0,2196,0
1271060885805699072,"RT @HectorAtarrabia: Doble o nada.
Reto a la oposición a jugarnos un doble o nada: en 2022 AMLO cumplirá cuatro años como presidente, en lu…",140,0,1295,0
1271060539452596225,RT @aztk66: @molotovmx #SomosMillonesConAMLO,44,0,4,0
1270961913321721856,#SomosMillonesConAMLO ,45,6,3,0
1270961775891173377,1:11 #SomosMillonesConAMLO,26,14,9,0
1270961491886432257,"RT @Lupis53: Exactamente lo que dijo AMLO hoy, sobre hablar c/todos! Así lo vengo haciendo desde hace más de 14 años, logra uno concientiza…",140,0,11,0
1270961461041475584,RT @Piedrulces: Te AMLO ❤️ México.,34,0,71,0
1270961433027710976,@esvalero @aztk66 @lopezobrador_ ¡Ánimo Valero! #SomosMillonesConAMLO,69,4,3,0
1270961341348667392,RT @esvalero: Hoy el insomnio me agarró muy chairo. Estoy con @lopezobrador_ porque trabaja para los pobres y porque me provoca terror regr…,140,0,56,0
1270961180308316160,"RT @LuisArmandoMx: Aquí la descripción gráfica del HT #SomosMillonesConAMLO:

🇲🇽💪
",105,0,19,0
1270960797968146432,"RT @aztk66: #SomosMillonesConAMLO

La cuenta de2016 con 11 seguidores hablando de bots

No aprenden ",123,0,7,0
1270960567499608068,@ChicShion @aztk66 #SomosMillonesConAMLO,40,2,1,0
1270960523312599040,"RT @ChicShion: La guerra sucia se viene durisima rumbo al 2021 amigos PRO AMLO!

La regla de oro: 

No condenen, no critiquen, no hagan asp…",140,0,695,0
1270932594352324608,"RT @cuahuyolotl: AMLO: ¿Para qué tantos partidos?, debería de haber dos: partido liberal y partido conservador.El presidente Andrés Manuel…",139,0,200,0
