id,text,len tweet,likes,rt,position
1271084853031768065,"RT @latinus_us: Actividad industrial en México se desploma 25.1% en abril, reporta Inegi.
#Latinus #InformaciónParaTi 
https://t.co/KX64tWD…",140,0,60,0
1271032819989581825,"RT @El_Universal_Mx: #EnPortada Proyectos energéticos de la 4T preocupan a la ONU
https://t.co/lmzrh5FoiS https://t.co/0AuWEhiQ7q",129,0,78,0
1270691210479505408,RT @El_Universal_Mx: ¿Con qué derecho el presidente nos exige a los mexicanos definirnos a partir de él? Sabemos que @lopezobrador_  tiende…,140,0,714,0
1270673411010945030,El que se tiene que definir es él. (⁦@lopezobrador_⁩ ) #MiColumna ⁦@Univ_Opinion⁩ en ⁦@El_Universal_Mx⁩  https://t.co/0HJleRugyV,128,3428,1331,0
1270564528326090752,🤦🏻‍♂️ https://t.co/QD4TTo2LlD,29,2485,722,0
1270439212966436865,"RT @WRADIOMexico: AL AIRE | Entrevista con @RPerezGay, analista y escritor  #AsiLasCosasConLoret @CarlosLoret 

📌 El BOA de AMLO

•Por el 9…",140,0,22,0
1270311129114345476,"RT @postopinion_es: Cuando era opositor, AMLO hablaba de “los muertos de Calderón” o “los muertos de Peña Nieto”.

Quién lo iba a pensar: a…",140,0,659,0
1270019096470568961,"RT @latinus_us: Préstamo de mil mdd del Banco Mundial es “una operación de rutina”: AMLO. #COVID19 #Coronavirus 
#Latinus #InformaciónParaT…",140,0,256,0
1270019079793971201,"RT @latinus_us: No me hago la prueba de #COVID19 porque no tengo síntomas, dice AMLO. #Coronavirus 
#Latinus #InformaciónParaTi 
https://t.…",140,0,129,0
1269957451975200769,"#otras plumas: La piedra en el zapato de ⁦@lopezobrador_⁩, texto de ⁦@aaguirre_g⁩  https://t.co/r0Uxszpzyt",106,1160,533,0
1269949313305792513,Los muertos de ⁦@lopezobrador_⁩ en México. #MiColumna en ⁦@postopinion_es⁩ del ⁦@washingtonpost⁩  https://t.co/MX4knNsh6A,121,4676,2207,0
1269299112903573505,"RT @latinus_us: Cárdenas pide a AMLO diferir megaobras para obtener recursos contra la pandemia. #COVID19 #Coronavirus 
#Latinus #Informaci…",140,0,577,0
1269278156478808066,"RT @latinus_us: Hoy en #LaNocturna el director de la Comisión Federal de Electricidad, Manuel Bartlett, visita a AMLO.  
#Latinus #Informac…",140,0,143,0
1268980996587782147,Alfaro acusó. El presidente lo encaró. Alfaro se achicó. El presidente le pasa encima. AMLO 3-1 Alfaro. De ese tama… https://t.co/s2NMV7EEJM,140,2491,667,0
