id,text,len tweet,likes,rt,position
1271145669793890305,"López Obrador pide “vencer el miedo” y salir poco a poco del confinamiento

 ⇢  El presidente recomendó que ahora q… https://t.co/bxAgdbOALh",140,30,11,0
1271143695803351044,"Buscarán centralizar Sistema Nacional Anticorrupción  #AtandoCabos 

⇢  El presidente López Obrador también dijo qu… https://t.co/8KveRBFQvk",140,13,4,0
1271142564566052865,"Respalda López Obrador desaparición de órganos reguladores #AtandoCabos 

El presidente dijo que desconocía la inic… https://t.co/f35K2P37gA",140,20,14,0
1270941649716350976,Esto respondió el presidente López Obrador cuando le preguntaron por qué dio a conocer el documento no verificado d… https://t.co/C9uaLIeFJh,140,66,21,0
1270785155268055040,El presidente López Obrador dijo que aunque algunos analistas ven la crisis como una “L” en la que una vez que el p… https://t.co/DIgVzYoJgX,140,37,6,0
1270781654899056646,"#AtandoCabos 

Ricardo Monreal, coordinador de senadores de Morena,  propuso la desaparición del Instituto Federal… https://t.co/U32j5u4tB4",139,85,38,0
1270574512271228928,"López Obrador dio a conocer un documento que, dijo, le hicieron llegar a Presidencia, y que revelaría la presunta c… https://t.co/XbsgnrhpXh",140,181,54,0
1270566633887670272,El presidente López Obrador propone crear un cuerpo de paz desarmado para contener la violencia en las manifestacio… https://t.co/TuOC1XhEEv,140,63,10,0
1270418903995486208,"Esta mañana, López Obrador dijo que al igual que ocurrió en otras épocas de transformación en el país, ahora “no ha… https://t.co/a3LY7HXIr2",140,72,19,0
1270417885966602241,"López Obrador propone crear “grupos de paz” para protestas #AtandoCabos  

Esta mañana, el presidente condenó los a… https://t.co/VzaCwAsRhB",140,16,7,0
1270068897329434624,@EnriqueAlfaroR @AtandoCabos Enrique Alfaro:  No es correcto el planteamiento del presidente López Obrador de que e… https://t.co/6yVroTGEsK,140,42,11,0
