id,text,len tweet,likes,rt,position
1271473959486345216,"Reporta AMLO 345 mil empleos perdidos en mayo

",94,19,5,0
1271459905216622601,"Descarta AMLO plan para nacionalizar ferrocarriles

",99,21,5,0
1271452893925826560,"AMLO anuncia gira por Veracruz, Tlaxcala, Puebla, Hidalgo y Morelos

",116,40,9,0
1271419628670136321,"AMLO y la prensa, ¿irregularidades fiscales en la 4T? | #ColumnasPolíticas de este viernes

",139,27,10,0
1271301214936973320,"Plantea AMLO SNA con sala única; busca modificar estructura | #Entérate
",119,22,5,0
1271258430523805696,"Propone AMLO sala nacional única para Sistema Anticorrupción
",108,41,19,0
1271159092300701696,"Organismos autónomos se ‘servían con la cuchara grande’: AMLO

",110,203,43,0
1271155414671912961,"Llama AMLO a una reactivación económica con equilibrio

",103,30,11,0
1271145205220233224,"Cuando queda una vacante en organismos autónomos, me tomo mi tiempo: AMLO

",122,39,12,0
1271135143357538304,"Exhorta AMLO a respetar la ley en conflicto sindical de Notimex

#Video 👉 https://t.co/JbuCuDpw9x https://t.co/FByVmLllax",121,36,12,0
1271128880854831105,"Poderes Judicial y Legislativo llevan mucho tiempo parados: AMLO 

👉 https://t.co/B92O83YtjF https://t.co/TQsgrN1kWl",116,29,8,0
1271122558855806977,"No conocía iniciativa para fusionar al IFT, Cofece y CRE: AMLO

",111,17,4,0
1271068145931956224,La propuesta de Monreal y el calendario electoral de AMLO | #ColumnasPolíticas de este jueves… https://t.co/CCmWSgZkc4,118,13,5,0
1271063229423333384,"#Titulares🇲🇽 | 4T quiere eliminar a reguladores: IFT, Cofece y CRE

",115,31,12,0
1270920139152805889,Presidenta de la Cámara de Diputados pide a AMLO que implemente Ingreso Mínimo Vital de Emergencia… https://t.co/1IYtpwFsFP,123,53,20,0
1270913776045510656,"Documento del BOA es espurio y AMLO lo usa para propaganda política: Mesa de Análisis
",133,442,159,0
1270853371679985666,"Si AMLO ve algo ilegal en Proyecto BOA debe denunciar: Figueroa

",112,85,13,0
1270838296596414471,"‘Absurdo’ que AMLO piense que el mundo gira entorno a él: Figueroa

",115,226,41,0
